Year,"Air pollution (total) (deaths per 100,000)"
1990,108.28429146876644
1991,107.142178842578
1992,106.31998336304558
1993,105.75701380556372
1994,104.95244736638813
1995,103.50447033770263
1996,102.29834346513785
1997,100.86310237997428
1998,99.27639850319405
1999,97.4640252843563
2000,95.44467067356756
2001,93.59312415334945
2002,92.09506147810971
2003,90.60583397341026
2004,88.77253345757825
2005,86.99272373501013
2006,85.26128146121602
2007,83.46270994607741
2008,81.73677725596106
2009,80.0038262124417
2010,78.24312773195066
2011,76.70872109253804
2012,74.64077685507237
2013,72.90439722996094
2014,71.08502937671034
2015,70.39184056914536
2016,68.44759946389756
2017,67.31899988241196
